id,title,price,availability,rating,disponibility,category,image
50,Unicorn Tracks,Â£18.78,In stock,Three,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
51,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,In stock,One,In stock (16 available),History,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,In stock,One,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
53,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â£31.12,In stock,Three,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
54,This One Summer,Â£19.49,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
55,Thirst,Â£17.27,In stock,Five,In stock (16 available),Fiction,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
56,The Torch Is Passed: A Harding Family Story,Â£19.09,In stock,One,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg
57,The Secret of Dreadwillow Carse,Â£56.13,In stock,One,In stock (16 available),Childrens,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
58,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,In stock,One,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
59,The Past Never Ends,Â£56.50,In stock,Four,In stock (16 available),Mystery,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
60,The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,Three,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
61,The Nameless City (The Nameless City #1),Â£38.16,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
62,The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,Three,In stock (16 available),Fiction,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
63,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,Four,In stock (16 available),Science,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
64,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,Four,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
65,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,Three,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
66,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,Five,In stock (16 available),Default,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
67,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,One,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
68,The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,One,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
69,The Death of Humanity: and the Case for Life,Â£58.11,In stock,Four,In stock (16 available),Philosophy,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
70,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,Three,In stock (16 available),Health,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
71,The Art Forger,Â£40.76,In stock,Three,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
72,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,In stock,One,In stock (16 available),History,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
73,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,In stock,Five,In stock (16 available),Spirituality,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
74,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock,Four,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
75,Soul Reader,Â£39.58,In stock,Two,In stock (16 available),Default,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
76,Security,Â£39.25,In stock,Two,In stock (16 available),Horror,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
77,"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock,Three,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
78,"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
79,Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock,Two,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
80,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
81,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,Five,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
82,Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock,Five,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
83,"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,One,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
84,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,In stock,Two,In stock (16 available),History,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
85,Patience,Â£10.16,In stock,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
86,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
87,orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,One,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
88,Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,In stock,One,In stock (16 available),Self Help,https://books.toscrape.com/media/cache/ea/9b/ea9b2cb8abbb317402e618445bade1e1.jpg
89,On a Midnight Clear,Â£14.07,In stock,Three,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/a1/14/a114d70e7babf110ba42a389078e9a45.jpg
90,Obsidian (Lux #1),Â£14.86,In stock,Two,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/fc/72/fc72f158554b4b4164701e1dfa1153c7.jpg
91,My Paris Kitchen: Recipes and Stories,Â£33.37,In stock,Two,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/f5/65/f565af3d9dd20a1ad72a1e7c4157387d.jpg
92,Masks and Shadows,Â£56.40,In stock,Two,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/ff/e8/ffe81bf98f8386ef29e193abfb6f9c1e.jpg
93,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock,Four,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/10/c6/10c61093002db1fec4089d8076678624.jpg
94,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg
95,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg
96,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg
97,"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock,One,In stock (16 available),Food and Drink,https://books.toscrape.com/media/cache/98/d1/98d1c979c4bac9e147a6718946578b0f.jpg
98,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,In stock,Two,In stock (16 available),Add a comment,https://books.toscrape.com/media/cache/5f/52/5f52b1bc6d45daab2e330c744feb0359.jpg
99,Join,Â£35.67,In stock,Five,In stock (16 available),Science Fiction,https://books.toscrape.com/media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg
100,In the Country We Love: My Family Divided,Â£22.00,In stock,Four,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/fe/ea/feeafd2ad7b3077f8e74cbb1da9e3c7d.jpg
101,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Â£57.36,In stock,Five,In stock (16 available),Science,https://books.toscrape.com/media/cache/26/1c/261c4eaf957ae4aacf2229b482e76dbe.jpg
102,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Â£29.17,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg
103,I am a Hero Omnibus Volume 1,Â£54.63,In stock,Three,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg
104,How to Be Miserable: 40 Strategies You Already Use,Â£46.03,In stock,One,In stock (16 available),Self Help,https://books.toscrape.com/media/cache/da/8b/da8bc9b824dd3f446ef63e438ddbfc85.jpg
105,Her Backup Boyfriend (The Sorensen Family #1),Â£33.97,In stock,One,In stock (16 available),Romance,https://books.toscrape.com/media/cache/1e/bb/1ebbbc3e2d3249b111033cfc40763b0b.jpg
106,"Giant Days, Vol. 2 (Giant Days #5-8)",Â£22.11,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg
107,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Â£29.69,In stock,Three,In stock (16 available),Historical Fiction,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg
108,First and First (Five Boroughs #3),Â£15.97,In stock,Four,In stock (16 available),Romance,https://books.toscrape.com/media/cache/c4/d1/c4d1517cc9370e292366b6132ca9ca36.jpg
109,Fifty Shades Darker (Fifty Shades #2),Â£21.96,In stock,One,In stock (16 available),Romance,https://books.toscrape.com/media/cache/cc/bd/ccbdae9e29b3594301528fa2c876ec29.jpg
110,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Â£54.35,In stock,Two,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/64/94/6494bf61176ca73b61255909230030be.jpg
111,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Â£37.97,In stock,Two,In stock (16 available),Religion,https://books.toscrape.com/media/cache/95/30/953013d044aa313cc162dec414f3969a.jpg
112,Danganronpa Volume 1,Â£51.99,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg
113,Crown of Midnight (Throne of Glass #2),Â£43.29,In stock,Three,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/66/25/6625e3bbb050de3e42a0c302c0d69f1f.jpg
114,"Codename Baboushka, Volume 1: The Conclave of Death",Â£36.72,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg
115,Camp Midnight,Â£17.08,In stock,Four,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg
116,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Â£29.14,In stock,Five,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/88/9e/889e0bac4c7c0e7178f0165b8d3b4617.jpg
117,Burning,Â£28.81,In stock,Three,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/26/95/269507c7bb35d2cec9b61a03d1c28e67.jpg
118,Bossypants,Â£49.46,In stock,Two,In stock (16 available),Default,https://books.toscrape.com/media/cache/27/d2/27d20361745ec2f7be668b18a4da29da.jpg
119,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Â£37.92,In stock,Two,In stock (16 available),Sequential Art,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg
120,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Â£28.09,In stock,Two,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/06/18/061811c5845d0e13bc04b2a755f0830f.jpg
121,Algorithms to Live By: The Computer Science of Human Decisions,Â£30.81,In stock,One,In stock (16 available),Nonfiction,https://books.toscrape.com/media/cache/23/b4/23b42e094c02d52b14b11a960d49610e.jpg
122,A World of Flavor: Your Gluten Free Passport,Â£42.95,In stock,One,In stock (16 available),Default,https://books.toscrape.com/media/cache/78/2e/782e315667ec50759b8603527ee33dec.jpg
123,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Â£56.76,In stock,Five,In stock (16 available),Default,https://books.toscrape.com/media/cache/08/89/088995e862aac86c88c608d763f6390e.jpg
124,A Murder in Time,Â£16.64,In stock,One,In stock (16 available),Mystery,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg
125,A Flight of Arrows (The Pathfinders #2),Â£55.53,In stock,Five,In stock (16 available),Historical Fiction,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
126,A Fierce and Subtle Poison,Â£28.13,In stock,Four,In stock (16 available),Young Adult,https://books.toscrape.com/media/cache/12/f1/12f1963957f27fa83d51f76b183ef490.jpg
127,A Court of Thorns and Roses (A Court of Thorns and Roses #1),Â£52.37,In stock,One,In stock (16 available),Fantasy,https://books.toscrape.com/media/cache/c0/88/c08816960890396213a423941af65b8f.jpg
128,(Un)Qualified: How God Uses Broken People to Do Big Things,Â£54.00,In stock,Five,In stock (16 available),Christian,https://books.toscrape.com/media/cache/cd/db/cddb3eb483ef11a088d519205b7098fb.jpg
129,You Are What You Love: The Spiritual Power of Habit,Â£21.87,In stock,Four,In stock (15 available),Religion,https://books.toscrape.com/media/cache/6b/70/6b70f2cdb17d9ab7551240a88b9211fe.jpg
130,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Â£43.30,In stock,Four,In stock (15 available),Science Fiction,https://books.toscrape.com/media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg
131,Tuesday Nights in 1980,Â£21.04,In stock,Two,In stock (15 available),Fiction,https://books.toscrape.com/media/cache/6b/da/6bdae061cb92c32b0b83cda8dd10275d.jpg
132,Tracing Numbers on a Train,Â£41.60,In stock,Three,In stock (15 available),Default,https://books.toscrape.com/media/cache/06/a6/06a6cfcf89afd1601cbba1a16cda57fb.jpg
133,Throne of Glass (Throne of Glass #1),Â£35.07,In stock,Three,In stock (15 available),Fantasy,https://books.toscrape.com/media/cache/32/d6/32d6aa560e8ddf2a4da1526b95d4c7ab.jpg
134,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,Â£59.64,In stock,One,In stock (15 available),History,https://books.toscrape.com/media/cache/97/47/974709d437b08e74649b5744471bf472.jpg
135,Thirteen Reasons Why,Â£52.72,In stock,One,In stock (15 available),Default,https://books.toscrape.com/media/cache/8a/83/8a83b6ce350f01bab21f85e6ba539316.jpg
136,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Â£58.08,In stock,Four,In stock (15 available),Childrens,https://books.toscrape.com/media/cache/26/32/2632a1e12f2c085fabbe022ae4cd6933.jpg
137,The Wedding Dress,Â£24.12,In stock,One,In stock (15 available),Romance,https://books.toscrape.com/media/cache/28/99/28992d89f4abf54fba183fc8d074adf3.jpg
138,The Vacationers,Â£42.15,In stock,Four,In stock (15 available),Fiction,https://books.toscrape.com/media/cache/37/25/372578cc073efae80cf284b56040a488.jpg
139,The Third Wave: An Entrepreneurâs Vision of the Future,Â£12.61,In stock,Five,In stock (15 available),Business,https://books.toscrape.com/media/cache/d0/77/d077a30042df6b916bfc8d257345c69e.jpg
140,The Stranger,Â£17.44,In stock,Four,In stock (15 available),Philosophy,https://books.toscrape.com/media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg
141,The Shadow Hero (The Shadow Hero),Â£33.14,In stock,One,In stock (15 available),Sequential Art,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg
